鄉鎮市區,交易標的,土地移轉總面積平方公尺,移轉層次,總樓層數,建物型態,主要用途,主要建材,建物移轉總面積平方公尺,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積.平方公尺.,車位總價元,主建物面積,附屬建物面積,陽台面積,電梯
白河區,土地,174.93,,,其他,,,0.0,0,0,0,1,無,3000000,17150,,0.0,0,0.0,0.0,0.0,0
善化區,土地,276.79,,,其他,,,0.0,0,0,0,1,無,11680000,42198,,0.0,0,0.0,0.0,0.0,0
善化區,土地,276.79,,,其他,,,0.0,0,0,0,1,無,11680000,42198,,0.0,0,0.0,0.0,0.0,0
善化區,土地,276.79,,,其他,,,0.0,0,0,0,1,無,11680000,42198,,0.0,0,0.0,0.0,0.0,0
善化區,土地,553.58,,,其他,,,0.0,0,0,0,1,無,23360000,42198,,0.0,0,0.0,0.0,0.0,0
北區,土地,3.81,,,其他,,,0.0,0,0,0,1,無,165000,43307,,0.0,0,0.0,0.0,0.0,0
柳營區,土地,83.0,,,其他,,,0.0,0,0,0,1,無,1200000,14458,,0.0,0,0.0,0.0,0.0,0
東山區,土地,331.47,,,其他,,,0.0,0,0,0,1,無,1850000,5581,,0.0,0,0.0,0.0,0.0,0
東區,房地(土地+建物),32.0,全,五層,透天厝,住商用,鋼筋混凝土造,98.74,5,2,6,1,無,6000000,60766,,0.0,0,82.98,5.38,10.39,0
新市區,土地,347.65,,,其他,,,0.0,0,0,0,1,無,12555418,36115,,0.0,0,0.0,0.0,0.0,0
東山區,土地,7332.33,,,其他,,,0.0,0,0,0,1,無,1100000,150,,0.0,0,0.0,0.0,0.0,0
新營區,房地(土地+建物),56.86,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,85.93,3,2,1,1,無,1080000,12568,,0.0,0,85.93,0.0,0.0,0
東區,土地,48.28,,,其他,,,0.0,0,0,0,1,無,2496076,51700,,0.0,0,0.0,0.0,0.0,0
