鄉鎮市區,交易標的,土地移轉總面積平方公尺,移轉層次,總樓層數,建物型態,主要用途,主要建材,建物移轉總面積平方公尺,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積.平方公尺.,車位總價元,主建物面積,附屬建物面積,陽台面積,電梯
中山區,車位,0.0,地下三層,十七層,其他,停車空間,鋼骨鋼筋混凝土造,74.87,0,0,0,1,無,6000000,,坡道平面,0.0,6000000,0.0,0.0,0.0,0
北投區,土地,443.75,,,其他,,,0.0,0,0,0,1,無,10067250,22687,,0.0,0,0.0,0.0,0.0,0
士林區,土地,320.08,,,其他,,,0.0,0,0,0,1,無,24980000,78043,,0.0,0,0.0,0.0,0.0,0
中山區,車位,0.5,地下二層,十二層,其他,停車空間,鋼筋混凝土造,4.58,0,0,0,1,有,650000,,升降機械,0.0,650000,0.0,0.0,0.0,1
大安區,房地(土地+建物),6.74,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,33.42,4,2,2,1,無,7000000,209455,,0.0,0,27.37,0.0,5.05,1
內湖區,建物,0.0,四層,四層,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,0.11,3,2,1,1,無,201,0,,0.0,0,0.0,0.0,0.0,0
士林區,房地(土地+建物),18.75,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,52.74,0,0,0,0,無,4074350,77254,,0.0,0,44.09,0.0,8.65,0
士林區,房地(土地+建物)+車位,24.09,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,151.62,1,3,1,1,有,26500000,174779,坡道平面,0.0,2500000,108.48,0.0,13.14,1
中正區,土地,340.0,,,其他,,,0.0,0,0,0,1,無,150000000,441176,,0.0,0,0.0,0.0,0.0,0
士林區,土地,33.0,,,其他,,,0.0,0,0,0,1,無,2225000,67424,,0.0,0,0.0,0.0,0.0,0
中山區,房地(土地+建物),2.62,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,32.33,1,1,1,1,有,4580000,141664,,0.0,0,20.65,0.0,3.01,1
文山區,房地(土地+建物),36.5,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,92.3,3,2,1,1,無,13820400,149733,,0.0,0,78.12,0.0,14.18,0
信義區,土地,48.97,,,其他,,,0.0,0,0,0,1,無,1748315,35702,,0.0,0,0.0,0.0,0.0,0
松山區,房地(土地+建物),5.25,十五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,65.71,1,1,1,1,有,20300000,308933,,0.0,0,33.89,0.0,9.39,1
信義區,車位,0.96,,,其他,,,43.4,0,0,0,1,有,5000000,,坡道平面,0.0,5000000,0.0,0.0,0.0,1
信義區,土地,14.0,,,其他,,,0.0,0,0,0,1,無,657300,46950,,0.0,0,0.0,0.0,0.0,0
南港區,土地,2892.48,,,其他,,,0.0,0,0,0,1,無,4488000000,1551610,,0.0,0,0.0,0.0,0.0,0
士林區,車位,4.58,地下二層,十二層,其他,停車空間,鋼筋混凝土造,58.47,0,0,0,1,有,3100000,,坡道平面,58.47,3100000,0.0,0.0,0.0,1
南港區,土地,12.99,,,其他,,,0.0,0,0,0,1,無,2940000,226328,,0.0,0,0.0,0.0,0.0,0
大安區,土地,4.67,,,其他,,,0.0,0,0,0,1,無,416894,89271,,0.0,0,0.0,0.0,0.0,0
北投區,房地(土地+建物),5.75,十一層,十三層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,43.77,1,0,1,1,有,6680000,152616,,0.0,0,20.69,0.0,9.5,1
南港區,土地,12.86,,,其他,,,0.0,0,0,0,1,無,3306000,257076,,0.0,0,0.0,0.0,0.0,0
松山區,土地,87.0,,,其他,,,0.0,0,0,0,1,無,86195250,990750,,0.0,0,0.0,0.0,0.0,0
中正區,土地,15.0,,,其他,,,0.0,0,0,0,1,無,839250,55950,,0.0,0,0.0,0.0,0.0,0
中山區,土地,4.5,,,其他,,,0.0,0,0,0,1,無,160000,35556,,0.0,0,0.0,0.0,0.0,0
南港區,土地,86.96,,,其他,,,0.0,0,0,0,1,無,2965987,34107,,0.0,0,0.0,0.0,0.0,0
士林區,房地(土地+建物),22.75,一層，騎樓,四層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,85.4,0,0,0,0,無,23000000,269321,,0.0,0,85.4,0.0,0.0,0
士林區,土地,2.7,,,其他,,,0.0,0,0,0,1,無,188000,69630,,0.0,0,0.0,0.0,0.0,0
大安區,土地,73.76,,,其他,,,0.0,0,0,0,1,無,6029888,81750,,0.0,0,0.0,0.0,0.0,0
文山區,車位,2.44,一層,十層,其他,商業用,鋼筋混凝土造,29.64,0,0,0,1,有,1700000,,坡道平面,29.65,1700000,0.0,0.0,0.0,1
文山區,房地(土地+建物),182.0,全,一層,透天厝,住家用,磚造,61.62,2,1,1,1,無,73000000,1184680,,0.0,0,61.62,0.0,0.0,0
文山區,土地,134.0,,,其他,,,0.0,0,0,0,1,無,38000000,283582,,0.0,0,0.0,0.0,0.0,0
北投區,房地(土地+建物),9.54,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,35.93,0,0,0,0,有,3600000,100195,,0.0,0,26.43,0.0,3.5,1
士林區,土地,880.43,,,其他,,,0.0,0,0,0,1,無,64000000,72692,,0.0,0,0.0,0.0,0.0,0
信義區,房地(土地+建物)+車位,11.62,地下層,七層,華廈(10層含以下有電梯),其他,鋼筋混凝土造,230.99,0,0,0,0,有,17500000,75761,坡道平面,0.0,0,217.3,0.0,0.0,1
文山區,車位,2.4,地下層,八層,其他,見使用執照,鋼筋混凝土造,12.11,0,0,0,1,有,950000,,坡道機械,0.0,950000,0.0,0.0,0.0,1
大同區,房地(土地+建物),15.89,一層，騎樓,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,55.03,2,1,1,1,無,4000000,72688,,0.0,0,45.57,0.0,0.0,0
大安區,房地(土地+建物)+車位,66.15,十五層,三十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,577.64,0,0,0,0,有,380000000,760822,坡道平面,99.21,16000000,252.08,8.23,33.9,1
北投區,房地(土地+建物),6.12,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,37.86,0,0,0,0,有,4680000,123613,,0.0,0,18.03,1.11,4.76,1
信義區,車位,3.28,地下二層,七層,其他,防空避難室兼停車場,鋼筋混凝土造,19.13,0,0,0,1,無,850000,,其他,0.0,0,0.0,0.0,0.0,1
