土地移轉總面積平方公尺,建物移轉總面積平方公尺,建物現況格局_房,建物現況格局_廳,建物現況格局_衛,建物現況格局_隔間,總價元,單價元平方公尺,車位移轉總面積_平方公尺,車位總價元,主建物面積,附屬建物面積,陽台面積,電梯,ifor,交易標的,建物型態,主要用途,有無管理組織,車位類別,city,x1
0.0,74.87,0.0,0.0,0.0,1.0,6.0e6,71992.5,0.0,6.0e6,0.0,0.0,0.0,0,normal,車位,其他,停車空間,無,坡道平面,tp,中山區
443.75,0.0,0.0,0.0,0.0,1.0,1.006725e7,22687.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,北投區
320.08,0.0,0.0,0.0,0.0,1.0,2.498e7,78043.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,士林區
0.5,4.58,0.0,0.0,0.0,1.0,650000.0,71992.5,0.0,650000.0,0.0,0.0,0.0,1,normal,車位,其他,停車空間,有,升降機械,tp,中山區
6.74,33.42,4.0,2.0,2.0,1.0,7.0e6,209455.0,0.0,0.0,27.37,0.0,5.05,1,normal,房地(土地+建物),華廈(10層含以下有電梯),住家用,無,,tp,大安區
0.0,0.11,3.0,2.0,1.0,1.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0,normal,建物,公寓(5樓含以下無電梯),工業用,無,,tp,內湖區
18.75,52.74,0.0,0.0,0.0,0.0,4.07435e6,77254.0,0.0,0.0,44.09,0.0,8.65,0,normal,房地(土地+建物),公寓(5樓含以下無電梯),住家用,無,,tp,士林區
24.09,151.62,1.0,3.0,1.0,1.0,2.65e7,174779.0,0.0,2.5e6,108.48,0.0,13.14,1,normal,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,有,坡道平面,tp,士林區
340.0,0.0,0.0,0.0,0.0,1.0,1.5e8,441176.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,中正區
33.0,0.0,0.0,0.0,0.0,1.0,2.225e6,67424.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,士林區
2.62,32.33,1.0,1.0,1.0,1.0,4.58e6,141664.0,0.0,0.0,20.65,0.0,3.01,1,normal,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,有,,tp,中山區
36.5,92.3,3.0,2.0,1.0,1.0,1.38204e7,149733.0,0.0,0.0,78.12,0.0,14.18,0,normal,房地(土地+建物),公寓(5樓含以下無電梯),住家用,無,,tp,文山區
48.97,0.0,0.0,0.0,0.0,1.0,1.748315e6,35702.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,信義區
5.25,65.71,1.0,1.0,1.0,1.0,2.03e7,308933.0,0.0,0.0,33.89,0.0,9.39,1,normal,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,有,,tp,松山區
0.96,43.4,0.0,0.0,0.0,1.0,5.0e6,71992.5,0.0,5.0e6,0.0,0.0,0.0,1,normal,車位,其他,,有,坡道平面,tp,信義區
14.0,0.0,0.0,0.0,0.0,1.0,657300.0,46950.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,信義區
2892.48,0.0,0.0,0.0,0.0,1.0,4.488e9,1.55161e6,0.0,0.0,0.0,0.0,0.0,0,outlier,土地,其他,,無,,tp,南港區
4.58,58.47,0.0,0.0,0.0,1.0,3.1e6,71992.5,58.47,3.1e6,0.0,0.0,0.0,1,normal,車位,其他,停車空間,有,坡道平面,tp,士林區
12.99,0.0,0.0,0.0,0.0,1.0,2.94e6,226328.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,南港區
4.67,0.0,0.0,0.0,0.0,1.0,416894.0,89271.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,大安區
5.75,43.77,1.0,0.0,1.0,1.0,6.68e6,152616.0,0.0,0.0,20.69,0.0,9.5,1,normal,房地(土地+建物),住宅大樓(11層含以上有電梯),辦公用,有,,tp,北投區
12.86,0.0,0.0,0.0,0.0,1.0,3.306e6,257076.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,南港區
87.0,0.0,0.0,0.0,0.0,1.0,8.619525e7,990750.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,松山區
15.0,0.0,0.0,0.0,0.0,1.0,839250.0,55950.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,中正區
4.5,0.0,0.0,0.0,0.0,1.0,160000.0,35556.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,中山區
86.96,0.0,0.0,0.0,0.0,1.0,2.965987e6,34107.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,南港區
22.75,85.4,0.0,0.0,0.0,0.0,2.3e7,269321.0,0.0,0.0,85.4,0.0,0.0,0,normal,房地(土地+建物),公寓(5樓含以下無電梯),住商用,無,,tp,士林區
2.7,0.0,0.0,0.0,0.0,1.0,188000.0,69630.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,士林區
73.76,0.0,0.0,0.0,0.0,1.0,6.029888e6,81750.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,大安區
2.44,29.64,0.0,0.0,0.0,1.0,1.7e6,71992.5,29.65,1.7e6,0.0,0.0,0.0,1,normal,車位,其他,商業用,有,坡道平面,tp,文山區
182.0,61.62,2.0,1.0,1.0,1.0,7.3e7,1.18468e6,0.0,0.0,61.62,0.0,0.0,0,normal,房地(土地+建物),透天厝,住家用,無,,tp,文山區
134.0,0.0,0.0,0.0,0.0,1.0,3.8e7,283582.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,文山區
9.54,35.93,0.0,0.0,0.0,0.0,3.6e6,100195.0,0.0,0.0,26.43,0.0,3.5,1,normal,房地(土地+建物),華廈(10層含以下有電梯),住家用,有,,tp,北投區
880.43,0.0,0.0,0.0,0.0,1.0,6.4e7,72692.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,士林區
11.62,230.99,0.0,0.0,0.0,0.0,1.75e7,75761.0,0.0,0.0,217.3,0.0,0.0,1,normal,房地(土地+建物)+車位,華廈(10層含以下有電梯),其他,有,坡道平面,tp,信義區
2.4,12.11,0.0,0.0,0.0,1.0,950000.0,71992.5,0.0,950000.0,0.0,0.0,0.0,1,normal,車位,其他,見使用執照,有,坡道機械,tp,文山區
15.89,55.03,2.0,1.0,1.0,1.0,4.0e6,72688.0,0.0,0.0,45.57,0.0,0.0,0,normal,房地(土地+建物),公寓(5樓含以下無電梯),商業用,無,,tp,大同區
66.15,577.64,0.0,0.0,0.0,0.0,3.8e8,760822.0,99.21,1.6e7,252.08,8.23,33.9,1,outlier,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,有,坡道平面,tp,大安區
6.12,37.86,0.0,0.0,0.0,0.0,4.68e6,123613.0,0.0,0.0,18.03,1.11,4.76,1,normal,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,有,,tp,北投區
3.28,19.13,0.0,0.0,0.0,1.0,850000.0,71300.540865082,0.0,0.0,0.0,0.0,0.0,1,normal,車位,其他,防空避難室兼停車場,無,其他,tp,信義區
15.27,89.48,1.0,1.0,1.0,1.0,1.464e7,163612.0,32.84,0.0,27.23,1.46,6.56,1,normal,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,有,其他,tp,中正區
27.5,93.65,3.0,1.0,1.0,1.0,5.2e6,55526.0,0.0,0.0,93.65,0.0,0.0,0,normal,房地(土地+建物),公寓(5樓含以下無電梯),住家用,無,,tp,萬華區
20.0,52.14,1.0,1.0,1.0,1.0,1.45e7,278097.0,0.0,0.0,52.14,0.0,0.0,0,normal,房地(土地+建物),公寓(5樓含以下無電梯),,無,,tp,中山區
0.45,38.68,0.0,0.0,0.0,1.0,3.2e6,71992.5,38.67,3.2e6,0.0,0.0,0.0,1,normal,車位,其他,停車空間,有,坡道平面,tp,信義區
0.39,6.32,0.0,0.0,0.0,1.0,750000.0,71992.5,0.0,750000.0,0.0,0.0,0.0,1,normal,車位,其他,停車空間,有,塔式車位,tp,信義區
29.23,103.39,0.0,1.0,1.0,1.0,2.77e7,267918.0,0.0,0.0,96.6,6.79,0.0,0,normal,房地(土地+建物),公寓(5樓含以下無電梯),其他,無,,tp,士林區
40.0,187.23,0.0,0.0,0.0,0.0,5.6e7,299097.0,0.0,0.0,187.23,0.0,0.0,0,normal,房地(土地+建物),公寓(5樓含以下無電梯),商業用,無,,tp,萬華區
0.49,4.35,0.0,0.0,0.0,0.0,395000.0,90805.0,0.0,0.0,1.15,0.0,0.0,1,normal,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,有,,tp,文山區
26.89,0.0,0.0,0.0,0.0,1.0,6.0e6,223131.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,內湖區
0.15,16.9,0.0,0.0,0.0,1.0,2.02e6,71992.5,16.9,2.02e6,0.0,0.0,0.0,1,normal,車位,其他,一般事務所,有,塔式車位,tp,大安區
4.66,11.16,2.0,2.0,1.0,1.0,1.1e6,98566.0,0.0,0.0,9.68,0.0,1.47,0,normal,房地(土地+建物),公寓(5樓含以下無電梯),住家用,無,,tp,北投區
0.66,32.68,0.0,0.0,0.0,1.0,2.9e6,71992.5,32.69,2.9e6,0.0,0.0,0.0,1,normal,車位,其他,一般零售業,有,坡道平面,tp,信義區
0.39,38.74,0.0,0.0,0.0,1.0,1.6e6,71992.5,38.74,1.6e6,0.0,0.0,0.0,0,normal,車位,其他,見使用執照,有,坡道平面,tp,內湖區
2.44,29.64,0.0,0.0,0.0,1.0,1.7e6,71992.5,29.65,1.7e6,0.0,0.0,0.0,1,normal,車位,其他,商業用,有,坡道平面,tp,文山區
606.89,0.0,0.0,0.0,0.0,1.0,1.927e7,31752.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,北投區
7.44,106.51,3.0,2.0,1.0,1.0,2.43e7,228148.0,0.0,0.0,61.81,25.1,5.58,1,normal,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,有,,tp,信義區
1.15,31.47,0.0,0.0,0.0,1.0,1.0e6,71992.5,0.0,1.0e6,0.0,0.0,0.0,1,normal,車位,其他,一般事務所,有,坡道機械,tp,信義區
10943.0,0.0,0.0,0.0,0.0,1.0,1.1916936e7,1089.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,南港區
10943.0,0.0,0.0,0.0,0.0,1.0,1.1916936e7,1089.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,南港區
17.08,95.61,2.0,1.0,1.0,1.0,1.721e7,247935.0,36.28,2.5e6,49.49,0.0,3.18,1,normal,房地(土地+建物)+車位,華廈(10層含以下有電梯),商業用,有,坡道平面,tp,中山區
1.64,18.46,1.0,1.0,1.0,1.0,3.33e6,180390.0,0.0,0.0,14.23,0.0,0.0,1,normal,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,有,,tp,中山區
5.0,47.74,1.0,1.0,1.0,1.0,9.8e6,205279.0,0.0,0.0,27.01,0.83,3.71,1,normal,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,有,,tp,中山區
1.19,43.47,0.0,0.0,0.0,1.0,2.35e6,71812.0114168158,43.46,0.0,0.0,0.0,0.0,1,normal,車位,其他,一般事務所,有,坡道機械,tp,文山區
25.98,112.23,2.0,2.0,1.0,1.0,1.765e7,157266.0,0.0,0.0,81.66,0.0,15.87,0,normal,房地(土地+建物),公寓(5樓含以下無電梯),住家用,無,,tp,文山區
16.78,59.84,2.0,2.0,1.0,1.0,1.088e7,181818.0,0.0,0.0,52.57,0.0,7.27,1,normal,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,有,,tp,萬華區
2.67,6.76,1.0,1.0,1.0,1.0,1.35e6,199704.0,0.0,0.0,6.76,0.0,0.0,0,normal,房地(土地+建物),公寓(5樓含以下無電梯),住家用,無,,tp,中山區
